,team,salary,Player,position,season
5200,Orlando Magic,1.29444,Shabazz Napier, PG,2015-2016
5201,Minnesota Timberwolves,1.28208,Tyus Jones, PG,2015-2016
5202,Cleveland Cavaliers,1.276,Sasha Kaun, C,2015-2016
5203,Golden State Warriors,1.270964,Brandon Rush, SG,2015-2016
5204,Detroit Pistons,1.270964,Cartier Martin, PF,2015-2016
5205,Detroit Pistons,1.25244,Reggie Bullock, SG,2015-2016
5206,Houston Rockets,1.24272,Clint Capela, C,2015-2016
5207,Memphis Grizzlies,1.23084,Jarell Martin, PF,2015-2016
5208,Oklahoma City Thunder,1.2108,Andre Roberson, SG,2015-2016
5209,Charlotte Hornets,1.20144,P.J. Hairston, SF,2015-2016
5210,San Antonio Spurs,1.2,Boban Marjanovic, C,2015-2016
5211,Brooklyn Nets,1.185784,Earl Clark, SF,2015-2016
5212,New Orleans Pelicans,1.185784,Reggie Williams, SF,2015-2016
5213,Utah Jazz,1.17588,Rudy Gobert, C,2015-2016
5214,Boston Celtics,1.17096,Jordan Mickey, F,2015-2016
5215,New Orleans Pelicans,1.164858,Toney Douglas, PG,2015-2016
5216,Phoenix Suns,1.16016,Archie Goodwin, SG,2015-2016
5217,LA Clippers,1.15968,CJ Wilcox, G,2015-2016
5218,Los Angeles Lakers,1.1556,Larry Nance Jr., PF,2015-2016
5219,Milwaukee Bucks,1.15,Chris Copeland, SF,2015-2016
5220,Minnesota Timberwolves,1.1495,Damjan Rudez, SF,2015-2016
5221,Boston Celtics,1.14864,R.J. Hunter, G,2015-2016
5222,Cleveland Cavaliers,1.147276,Matthew Dellavedova, PG,2015-2016
5223,San Antonio Spurs,1.14288,Kyle Anderson, SF,2015-2016
5224,Oklahoma City Thunder,1.14024,Josh Huestis, F,2015-2016
5225,Brooklyn Nets,1.14024,Chris McCullough, F,2015-2016
5226,Golden State Warriors,1.13196,Kevon Looney, SF,2015-2016
5227,New Orleans Pelicans,1.100602,Luke Babbitt, F,2015-2016
5228,Miami Heat,1.100602,Henry Walker, SF,2015-2016
5229,Washington Wizards,1.100602,Garrett Temple, SG,2015-2016
5230,LA Clippers,1.100602,Wesley Johnson, SF,2015-2016
5231,Dallas Mavericks,1.100602,Jeremy Evans, F,2015-2016
5232,Indiana Pacers,1.1,Glenn Robinson III, SG,2015-2016
5233,Philadelphia 76ers,1.074169,Richaun Holmes, PF,2015-2016
5234,Phoenix Suns,1.035,Jon Leuer, PF,2015-2016
5235,LA Clippers,1.015421,Lester Hudson, SG,2015-2016
5236,Sacramento Kings,1.015421,James Anderson, SG,2015-2016
5237,Chicago Bulls,1.015421,E'Twaun Moore, G,2015-2016
5238,Indiana Pacers,1.007026,Rakeem Christmas, PF,2015-2016
5239,Indiana Pacers,1.007026,Joe Young, G,2015-2016
5240,Washington Wizards,1.0,Kris Humphries, PF,2015-2016
5241,Philadelphia 76ers,1.0,Robert Covington, SF,2015-2016
5242,Houston Rockets,1.0,Montrezl Harrell, PF,2015-2016
5243,Atlanta Hawks,1.0,Edy Tavares, C,2015-2016
5244,Phoenix Suns,0.981348,Jerel McNeal, SG,2015-2016
5245,Miami Heat,0.981348,Hassan Whiteside, C,2015-2016
5246,Sacramento Kings,0.981348,Quincy Acy, F,2015-2016
5247,Brooklyn Nets,0.981348,Quincy Miller, SF,2015-2016
5248,Phoenix Suns,0.981348,John Jenkins, G,2015-2016
5249,Utah Jazz,0.981348,Chris Johnson, SG,2015-2016
5250,Brooklyn Nets,0.981348,Thomas Robinson, F,2015-2016
5251,LA Clippers,0.947726,Pablo Prigioni, PG,2015-2016
5252,Charlotte Hornets,0.947276,Troy Daniels, SG,2015-2016
5253,Phoenix Suns,0.947276,Ronnie Price, PG,2015-2016
5254,Philadelphia 76ers,0.947276,Isaiah Canaan, PG,2015-2016
5255,Toronto Raptors,0.947276,Anthony Bennett, PF,2015-2016
5256,Minnesota Timberwolves,0.947276,Tayshaun Prince, SF,2015-2016
5257,Minnesota Timberwolves,0.947276,John Lucas III, PG,2015-2016
5258,Charlotte Hornets,0.947276,Tyler Hansbrough, PF,2015-2016
5259,San Antonio Spurs,0.947276,Matt Bonner, C,2015-2016
5260,Brooklyn Nets,0.947276,Henry Sims, C,2015-2016
5261,Miami Heat,0.947276,Gerald Green, SG,2015-2016
5262,Chicago Bulls,0.947276,Justin Holiday, SF,2015-2016
5263,Atlanta Hawks,0.947276,Jason Richardson, SG,2015-2016
5264,Utah Jazz,0.9,Raul Neto, PG,2015-2016
5265,New York Knicks,0.874837,Jimmer Fredette, G,2015-2016
5266,Milwaukee Bucks,0.855,Damien Inglis, SF,2015-2016
5267,Perth Perth,0.845059,Terrico White, G,2015-2016
5268,Utah Jazz,0.845059,Elijah Millsap, SG,2015-2016
5269,Golden State Warriors,0.845059,James Michael McAdoo, SF,2015-2016
5270,Milwaukee Bucks,0.845059,Jabari Brown, SG,2015-2016
5271,Milwaukee Bucks,0.845059,Marcus Landry, SF,2015-2016
5272,Cleveland Cavaliers,0.845059,Joe Harris, SF,2015-2016
5273,Milwaukee Bucks,0.845059,Johnny O'Bryant III, PF,2015-2016
5274,Sacramento Kings,0.845059,Eric Moreland, C,2015-2016
5275,Memphis Grizzlies,0.845059,JaMychal Green, PF,2015-2016
5276,Memphis Grizzlies,0.845059,Russ Smith, PG,2015-2016
5277,Sacramento Kings,0.845059,Jack Cooley, F,2015-2016
5278,Portland Trail Blazers,0.845059,Tim Frazier, PG,2015-2016
5279,Denver Nuggets,0.800321,Kostas Papanikolaou, SF,2015-2016
5280,Memphis Grizzlies,0.700902,Bryce Cotton, G,2015-2016
5281,Los Angeles Lakers,0.7,Anthony Brown, F,2015-2016
5282,Toronto Raptors,0.65,Norman Powell, SF,2015-2016
5283,Portland Trail Blazers,0.625093,Pat Connaughton, SG,2015-2016
5284,Detroit Pistons,0.6,Darrun Hilliard, G,2015-2016
5285,Washington Wizards,0.561716,Jarell Eddie, F,2015-2016
5286,Phoenix Suns,0.525093,Deonte Burton, PG,2015-2016
5287,Phoenix Suns,0.525093,Kyle Casey, SF,2015-2016
5288,Philadelphia 76ers,0.525093,T.J. McConnell, PG,2015-2016
5289,Philadelphia 76ers,0.525093,Scottie Wilbekin, PG,2015-2016
5290,Utah Jazz,0.525093,J.J. O'Brien, SF,2015-2016
5291,Brooklyn Nets,0.525093,Treveon Graham, SG,2015-2016
5292,Orlando Magic,0.525093,Melvin Ejim, SF,2015-2016
5293,LA Clippers,0.525093,Branden Dawson, SF,2015-2016
5294,Toronto Raptors,0.525093,Ronald Roberts Jr., PF,2015-2016
5295,Memphis Grizzlies,0.525093,Jarrid Famous, PF,2015-2016
5296,Los Angeles Lakers,0.525093,Jamil Wilson, SF,2015-2016
5297,Sacramento Kings,0.525093,Duje Dukan, PF,2015-2016
5298,Boston Celtics,0.525093,Jonathan Holmes, PF,2015-2016
5299,Atlanta Hawks,0.525093,Lamar Patterson, SG,2015-2016
5300,Houston Rockets,0.306527,Michael Beasley, SF,2015-2016
5301,Oklahoma City Thunder,0.295327,Steve Novak, SF,2015-2016
5302,Golden State Warriors,0.289755,Anderson Varejao, C,2015-2016
5303,Washington Wizards,0.273038,JJ Hickson, C,2015-2016
5304,Brooklyn Nets,0.261894,Joe Johnson, G,2015-2016
5305,Philadelphia 76ers,0.258489,JaKarr Sampson, F,2015-2016
5306,San Antonio Spurs,0.25075,Andre Miller, PG,2015-2016
5307,Toronto Raptors,0.245177,Jason Thompson, PF,2015-2016
5308,Memphis Grizzlies,0.239605,Ryan Hollins, C,2015-2016
5309,Oklahoma City Thunder,0.222888,Nazr Mohammed, C,2015-2016
5310,Indiana Pacers,0.211744,Ty Lawson, G,2015-2016
5311,Phoenix Suns,0.206192,Chase Budinger, SF,2015-2016
5312,Washington Wizards,0.2006,Marcus Thornton, SG,2015-2016
5313,San Antonio Spurs,0.2006,Kevin Martin, SG,2015-2016
5314,Houston Rockets,0.2006,Andrew Goudelock, PG,2015-2016
5315,Charlotte Hornets,0.189455,Jorge Gutierrez, PG,2015-2016
5316,New Orleans Pelicans,0.169883,Bryce Dejean-Jones, SG,2015-2016
5317,Philadelphia 76ers,0.167406,Tony Wroten, SG,2015-2016
5318,Brooklyn Nets,0.134215,Sean Kilpatrick, G,2015-2016
5319,Phoenix Suns,0.111444,Lorenzo Brown, PG,2015-2016
5320,LA Clippers,0.111444,Jeff Ayres, F,2015-2016
5321,Phoenix Suns,0.111196,Jordan McRae, SG,2015-2016
5322,Utah Jazz,0.099418,Erick Green, PG,2015-2016
5323,Phoenix Suns,0.083397,Alan Williams, PF,2015-2016
5324,Orlando Magic,0.061776,Keith Appling, PG,2015-2016
5325,Phoenix Suns,0.055722,Orlando Johnson, SG,2015-2016
5326,Memphis Grizzlies,0.055722,Elliot Williams, SG,2015-2016
5327,Phoenix Suns,0.055722,Phil Pressey, PG,2015-2016
5328,Phoenix Suns,0.049709,Cory Jefferson, F,2015-2016
5329,New York Knicks,0.030888,Thanasis Antetokounmpo, SF,2015-2016
5330,Cleveland Cavaliers,30.96345,LeBron James, SF,2016-2017
5331,LA Clippers,22.868827,Chris Paul, PG,2016-2017
5332,Memphis Grizzlies,22.11675,Chandler Parsons, SF,2016-2017
5333,Washington Wizards,22.11675,Bradley Beal, SG,2016-2017
5334,New Orleans Pelicans,22.11675,Anthony Davis, PF,2016-2017
5335,New York Knicks,21.323252,Derrick Rose, PG,2016-2017
5336,Memphis Grizzlies,21.165675,Marc Gasol, C,2016-2017
5337,LA Clippers,21.165675,DeAndre Jordan, C,2016-2017
5338,Brooklyn Nets,21.165675,Brook Lopez, C,2016-2017
5339,Cleveland Cavaliers,21.165675,Kevin Love, PF,2016-2017
5340,Charlotte Hornets,20.869566,Nicolas Batum, SF,2016-2017
5341,Memphis Grizzlies,26.5401,Mike Conley, PG,2016-2017
5342,San Antonio Spurs,20.575005,LaMarcus Aldridge, PF,2016-2017
5343,LA Clippers,20.140839,Blake Griffin, PF,2016-2017
5344,Atlanta Hawks,20.072033,Paul Millsap, PF,2016-2017
5345,Houston Rockets,18.735364,Ryan Anderson, PF,2016-2017
5346,Portland Trail Blazers,18.5,Allen Crabbe, SG,2016-2017
5347,Indiana Pacers,18.314532,Paul George, SF,2016-2017
5348,Los Angeles Lakers,18.0,Luol Deng, SF,2016-2017
5349,San Antonio Spurs,17.638063,Kawhi Leonard, SF,2016-2017
5350,Cleveland Cavaliers,17.638063,Kyrie Irving, PG,2016-2017
5351,Chicago Bulls,17.552209,Jimmy Butler, SG,2016-2017
5352,Boston Celtics,26.5401,Al Horford, C,2016-2017
5353,Detroit Pistons,17.2,Tobias Harris, SF,2016-2017
5354,Milwaukee Bucks,17.145838,Greg Monroe, C,2016-2017
5355,Oklahoma City Thunder,17.145838,Enes Kanter, C,2016-2017
5356,Dallas Mavericks,17.145838,Wesley Matthews, SG,2016-2017
5357,Orlando Magic,17.0,Bismack Biyombo, C,2016-2017
5358,New York Knicks,17.0,Joakim Noah, C,2016-2017
5359,Washington Wizards,16.9579,John Wall, PG,2016-2017
5360,Sacramento Kings,16.9579,DeMarcus Cousins, C,2016-2017
5361,Golden State Warriors,16.663575,Klay Thompson, SG,2016-2017
5362,Portland Trail Blazers,16.393443,Evan Turner, SG,2016-2017
5363,Dallas Mavericks,25.0,Dirk Nowitzki, PF,2016-2017
5364,Utah Jazz,16.07314,Gordon Hayward, SF,2016-2017
5365,New York Knicks,24.55938,Carmelo Anthony, PF,2016-2017
5366,Portland Trail Blazers,24.328425,Damian Lillard, PG,2016-2017
5367,Miami Heat,23.74106,Chris Bosh, PF,2016-2017
5368,Chicago Bulls,23.2,Dwyane Wade, SG,2016-2017
5369,Atlanta Hawks,23.180275,Dwight Howard, C,2016-2017
5370,Los Angeles Lakers,16.0,Timofey Mozgov, C,2016-2017
5371,Washington Wizards,15.944154,Ian Mahinmi, C,2016-2017
5372,Miami Heat,15.891725,Goran Dragic, PG,2016-2017
5373,Atlanta Hawks,15.730338,Kent Bazemore, SG,2016-2017
5374,San Antonio Spurs,15.5,Pau Gasol, C,2016-2017
5375,Golden State Warriors,15.330435,Draymond Green, PF,2016-2017
5376,Cleveland Cavaliers,15.330435,Tristan Thompson, C,2016-2017
5377,Milwaukee Bucks,15.2,Khris Middleton, SF,2016-2017
5378,Denver Nuggets,15.05,Danilo Gallinari, SF,2016-2017
5379,Orlando Magic,15.0,Jeff Green, SF,2016-2017
5380,Detroit Pistons,14.956522,Reggie Jackson, PG,2016-2017
5381,San Antonio Spurs,14.445313,Tony Parker, PG,2016-2017
5382,Toronto Raptors,14.382023,Jonas Valanciunas, C,2016-2017
5383,Toronto Raptors,14.2,DeMarre Carroll, SF,2016-2017
5384,Indiana Pacers,14.153652,Thaddeus Young, PF,2016-2017
5385,San Antonio Spurs,14.0,Manu Ginobili, G,2016-2017
5386,Chicago Bulls,14.0,Rajon Rondo, PG,2016-2017
5387,Minnesota Timberwolves,13.55,Ricky Rubio, PG,2016-2017
5388,Sacramento Kings,13.333333,Rudy Gay, SF,2016-2017
5389,LA Clippers,13.253012,Jamal Crawford, SG,2016-2017
5390,Chicago Bulls,13.21925,Robin Lopez, C,2016-2017
5391,Charlotte Hornets,13.0,Michael Kidd-Gilchrist, SF,2016-2017
5392,Cleveland Cavaliers,12.8,JR Smith, SG,2016-2017
5393,Phoenix Suns,12.60625,Brandon Knight, PG,2016-2017
5394,Milwaukee Bucks,12.517606,John Henson, F,2016-2017
5395,Sacramento Kings,12.5,Arron Afflalo, G,2016-2017
5396,Los Angeles Lakers,12.5,Jordan Clarkson, PG,2016-2017
5397,Charlotte Hornets,12.5,Miles Plumlee, C,2016-2017
5398,Phoenix Suns,12.415,Tyson Chandler, C,2016-2017
5399,Houston Rockets,12.385364,Eric Gordon, SG,2016-2017
5400,Charlotte Hornets,12.25,Marvin Williams, PF,2016-2017
5401,Toronto Raptors,12.25,Serge Ibaka, PF,2016-2017
5402,Golden State Warriors,12.112359,Stephen Curry, PG,2016-2017
5403,Minnesota Timberwolves,12.1,Nikola Pekovic, C,2016-2017
5404,Denver Nuggets,12.078652,Kenneth Faried, PF,2016-2017
5405,Charlotte Hornets,12.0,Kemba Walker, PG,2016-2017
5406,Boston Celtics,12.0,Amir Johnson, C,2016-2017
5407,Washington Wizards,12.0,Marcin Gortat, C,2016-2017
5408,Orlando Magic,11.75,Nikola Vucevic, C,2016-2017
5409,Brooklyn Nets,11.483254,Jeremy Lin, PG,2016-2017
5410,Cleveland Cavaliers,9.662922,Iman Shumpert, SG,2016-2017
5411,Milwaukee Bucks,9.6075,Matthew Dellavedova, PG,2016-2017
5412,Philadelphia 76ers,9.424084,Jerryd Bayless, PG,2016-2017
5413,Brooklyn Nets,9.25,Trevor Booker, F,2016-2017
5414,Portland Trail Blazers,9.213483,Meyers Leonard, PF,2016-2017
5415,Philadelphia 76ers,9.0,Gerald Henderson, SG,2016-2017
5416,Portland Trail Blazers,8.988765,Maurice Harkless, SF,2016-2017
5417,Oklahoma City Thunder,8.95,Taj Gibson, PF,2016-2017
5418,Indiana Pacers,8.8,Jeff Teague, PG,2016-2017
5419,Philadelphia 76ers,8.55,Tiago Splitter, C,2016-2017
5420,Oklahoma City Thunder,8.4,Ersan Ilyasova, PF,2016-2017
5421,Dallas Mavericks,8.375,Dwight Powell, PF,2016-2017
5422,Boston Celtics,8.269663,Avery Bradley, SG,2016-2017
5423,New Orleans Pelicans,8.081363,E'Twaun Moore, G,2016-2017
5424,Denver Nuggets,8.070175,Darrell Arthur, F,2016-2017
5425,Sacramento Kings,8.0465,Kosta Koufos, C,2016-2017
5426,Sacramento Kings,8.0,Garrett Temple, SG,2016-2017
5427,Boston Celtics,8.0,Tyler Zeller, C,2016-2017
5428,Philadelphia 76ers,8.0,Sergio Rodriguez, PG,2016-2017
5429,Sacramento Kings,8.0,Anthony Tolliver, PF,2016-2017
5430,Utah Jazz,8.0,George Hill, PG,2016-2017
5431,New Orleans Pelicans,11.286518,Jrue Holiday, PG,2016-2017
5432,New York Knicks,11.242,Courtney Lee, SG,2016-2017
5433,New Orleans Pelicans,11.241218,Solomon Hill, SF,2016-2017
5434,Denver Nuggets,11.233146,Wilson Chandler, SF,2016-2017
5435,Golden State Warriors,11.131368,Andre Iguodala, SG,2016-2017
5436,Utah Jazz,11.05,Derrick Favors, PF,2016-2017
5437,LA Clippers,11.0,Austin Rivers, PG,2016-2017
5438,Utah Jazz,11.0,Joe Johnson, G,2016-2017
5439,Detroit Pistons,10.991957,Jon Leuer, PF,2016-2017
5440,Indiana Pacers,10.7635,Monta Ellis, SG,2016-2017
5441,Milwaukee Bucks,10.5,Mirza Teletovic, PF,2016-2017
5442,Phoenix Suns,10.47,Jared Dudley, SF,2016-2017
5443,Memphis Grizzlies,10.361445,Zach Randolph, PF,2016-2017
5444,Indiana Pacers,10.314532,Al Jefferson, C,2016-2017
5445,Sacramento Kings,10.203755,Tyreke Evans, SG,2016-2017
5446,Utah Jazz,10.154495,Alec Burks, SG,2016-2017
5447,San Antonio Spurs,10.0,Danny Green, SG,2016-2017
5448,Toronto Raptors,10.0,Terrence Ross, SG,2016-2017
5449,New Orleans Pelicans,9.904494,Omer Asik, C,2016-2017
5450,Houston Rockets,7.806971,Trevor Ariza, SF,2016-2017
5451,Cleveland Cavaliers,7.806971,Channing Frye, F,2016-2017
5452,Portland Trail Blazers,7.680965,Al-Farouq Aminu, PF,2016-2017
5453,Minnesota Timberwolves,7.643979,Cole Aldrich, C,2016-2017
5454,Los Angeles Lakers,7.612172,Corey Brewer, F,2016-2017
5455,Washington Wizards,7.4,Markieff Morris, PF,2016-2017
5456,Portland Trail Blazers,7.4,Festus Ezeli, C,2016-2017
5457,LA Clippers,7.3775,JJ Redick, SG,2016-2017
5458,Toronto Raptors,7.315,Cory Joseph, PG,2016-2017
5459,Orlando Magic,7.25,D.J. Augustin, PG,2016-2017
5460,Los Angeles Lakers,7.0,Lou Williams, SG,2016-2017
5461,Utah Jazz,7.0,Boris Diaw, C,2016-2017
5462,Indiana Pacers,7.0,Rodney Stuckey, PG,2016-2017
5463,Portland Trail Blazers,6.666667,Ed Davis, PF,2016-2017
5464,Boston Celtics,6.587132,Isaiah Thomas, PG,2016-2017
5465,Oklahoma City Thunder,6.552961,Victor Oladipo, SG,2016-2017
5466,Orlando Magic,6.54,Jodie Meeks, SG,2016-2017
5467,Charlotte Hornets,6.511628,Jeremy Lamb, SG,2016-2017
5468,Philadelphia 76ers,6.5,Carl Landry, PF,2016-2017
5469,Detroit Pistons,6.5,Aron Baynes, C,2016-2017
5470,San Antonio Spurs,6.39375,Tim Duncan, C,2016-2017
5471,Charlotte Hornets,6.348759,Spencer Hawes, PF,2016-2017
5472,Charlotte Hornets,6.333333,Marco Belinelli, G,2016-2017
5473,Boston Celtics,6.286408,Jae Crowder, PF,2016-2017
5474,New York Knicks,6.191,Lance Thomas, SF,2016-2017
5475,Los Angeles Lakers,6.191,Tarik Black, C,2016-2017
5476,Washington Wizards,6.088993,Andrew Nicholson, PF,2016-2017
5477,Toronto Raptors,6.05,Patrick Patterson, PF,2016-2017
5478,Minnesota Timberwolves,6.0066,Andrew Wiggins, SF,2016-2017
5479,Charlotte Hornets,6.0,Ramon Sessions, G,2016-2017
5480,Houston Rockets,6.0,Patrick Beverley, PG,2016-2017
5481,Miami Heat,6.0,Wayne Ellington, SG,2016-2017
5482,Detroit Pistons,6.0,Ish Smith, PG,2016-2017
5483,Oklahoma City Thunder,5.994764,Alex Abrines, SG,2016-2017
5484,Minnesota Timberwolves,5.96016,Karl-Anthony Towns, C,2016-2017
5485,Philadelphia 76ers,5.90316,Ben Simmons, PG,2016-2017
5486,Washington Wizards,5.893981,Otto Porter Jr., SF,2016-2017
5487,Golden State Warriors,5.78245,Shaun Livingston, PG,2016-2017
5488,Chicago Bulls,5.78245,Nikola Mirotic, PF,2016-2017
5489,Memphis Grizzlies,5.70988,Brandan Wright, F,2016-2017
5490,Miami Heat,5.628,Tyler Johnson, SG,2016-2017
5491,Toronto Raptors,5.628,Jared Sullinger, C,2016-2017
5492,LA Clippers,5.628,Wesley Johnson, SF,2016-2017
5493,Memphis Grizzlies,5.505618,Tony Allen, SG,2016-2017
5494,Brooklyn Nets,5.5,Luis Scola, F,2016-2017
5495,Los Angeles Lakers,5.443918,Nick Young, G,2016-2017
5496,Milwaukee Bucks,5.37432,Jabari Parker, PF,2016-2017
5497,Los Angeles Lakers,5.3328,D'Angelo Russell, PG,2016-2017
5498,Charlotte Hornets,5.318313,Cody Zeller, C,2016-2017
5499,Toronto Raptors,5.3,PJ Tucker, SF,2016-2017
5500,Los Angeles Lakers,5.28168,Brandon Ingram, SF,2016-2017
5501,Cleveland Cavaliers,5.239437,Kyle Korver, SG,2016-2017
5502,Sacramento Kings,5.229454,Darren Collison, PG,2016-2017
5503,Sacramento Kings,5.2,Langston Galloway, SG,2016-2017
5504,Washington Wizards,5.0,Jason Smith, PF,2016-2017
5505,Washington Wizards,5.0,Brandon Jennings, G,2016-2017
5506,Orlando Magic,5.0,C.J. Watson, PG,2016-2017
5507,Charlotte Hornets,5.0,Roy Hibbert, C,2016-2017
5508,Oklahoma City Thunder,4.8375,Kyle Singler, F,2016-2017
5509,Cleveland Cavaliers,4.8375,Mike Dunleavy, SG,2016-2017
5510,Philadelphia 76ers,4.82616,Joel Embiid, C,2016-2017
5511,Phoenix Suns,4.823621,Alex Len, C,2016-2017
5512,Philadelphia 76ers,4.78884,Jahlil Okafor, C,2016-2017
5513,Boston Celtics,4.743,Jaylen Brown, SG,2016-2017
5514,New Orleans Pelicans,4.638203,Alexis Ajinca, C,2016-2017
5515,Detroit Pistons,4.625,Marcus Morris, PF,2016-2017
5516,Indiana Pacers,4.58345,CJ Miles, SF,2016-2017
5517,Denver Nuggets,4.540525,Jameer Nelson, G,2016-2017
5518,Philadelphia 76ers,4.38449,Nerlens Noel, PF,2016-2017
5519,Orlando Magic,4.35132,Aaron Gordon, PF,2016-2017
5520,Brooklyn Nets,4.347826,Greivis Vasquez, PG,2016-2017
5521,New York Knicks,4.31772,Kristaps Porzingis, PF,2016-2017
5522,Phoenix Suns,4.27632,Dragan Bender, PF,2016-2017
